Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
James Harden,HOU,"PG,SG",2458,465,570,52,151,0.45,0.87,299,79,2825,368
Stephen Curry,GSW,"PG,SG",2222,424,454,25,117,0.47,0.92,402,77,2607,238
Giannis Antetokounmpo,MIL,"SF,PF",2176,923,457,118,101,0.56,0.75,61,76,2664,246
Damian Lillard,POR,PG,2147,339,554,29,89,0.44,0.91,248,80,2920,213
Anthony Davis,LAL,"PF,C",2117,852,230,191,122,0.53,0.81,67,74,2694,164
Bradley Beal,WAS,SG,2064,403,423,46,113,0.47,0.8,213,79,2859,199
LeBron James,LAL,"SF,PF",2006,635,627,51,98,0.54,0.72,145,74,2648,281
Karl-Anthony Towns,MIN,C,2003,984,256,126,67,0.53,0.85,146,80,2766,220
Devin Booker,PHO,"PG,SG",1936,304,411,18,66,0.46,0.86,168,73,2569,264
Donovan Mitchell,UTH,"PG,SG",1918,334,323,33,119,0.44,0.82,201,79,2708,217
Kemba Walker,BOS,PG,1864,306,468,29,96,0.45,0.85,240,80,2719,182
Kawhi Leonard,LAC,"SG,SF",1833,496,251,50,124,0.5,0.87,142,70,2389,140
Kyrie Irving,BKN,"PG,SG",1780,283,468,25,91,0.48,0.88,190,73,2395,185
Joel Embiid,PHI,"PF,C",1777,867,240,129,46,0.49,0.79,81,68,2187,238
DeMar DeRozan,SAS,"SG,SF",1760,417,414,29,84,0.47,0.83,54,78,2666,181
CJ McCollum,POR,"PG,SG",1722,330,264,33,68,0.46,0.85,190,78,2788,133
LaMarcus Aldridge,SAS,"PF,C",1684,691,170,96,42,0.51,0.85,18,78,2594,132
Russell Westbrook,HOU,PG,1670,676,656,29,133,0.45,0.73,125,74,2627,326
Jimmy Butler,MIA,"SG,SF",1660,433,383,47,139,0.46,0.86,117,76,2635,129
Paul George,LAC,"SF,PF ",1654,507,276,30,130,0.45,0.84,243,69,2493,177
Jrue Holiday,NOR,"PG,SG",1642,371,471,59,117,0.48,0.78,143,77,2690,216
Luka Doncic,DAL,"PG,SG,PF",1638,552,475,25,89,0.44,0.76,176,76,2446,250
Blake Griffin,DET,"PF,C",1603,515,367,24,47,0.45,0.77,151,69,2355,202
Nikola Jokic,DEN,"PF,C",1599,889,573,61,103,0.51,0.84,107,78,2585,226
Buddy Hield,SAC,SG,1594,388,201,29,70,0.45,0.88,268,80,2445,142
Zach LaVine,CHI,"PG,SG",1593,321,303,23,72,0.44,0.83,148,73,2444,198
Trae Young,ATL,PG,1555,289,644,17,73,0.43,0.85,166,77,2379,295
Julius Randle,NYK,"PF,C",1519,652,258,47,49,0.52,0.73,55,79,2279,213
D'Angelo Russell,GSW,"PG,SG",1517,313,435,21,96,0.44,0.77,219,77,2364,232
Tobias Harris,PHI,"SF,PF",1515,583,222,40,65,0.47,0.85,161,80,2737,124
Khris Middleton,MIL,"SG,SF",1504,460,333,13,101,0.46,0.86,174,78,2632,176
John Collins,ATL,"PF,C",1450,744,142,88,45,0.57,0.75,55,76,2308,154
Mike Conley,UTH,PG,1429,251,448,23,93,0.45,0.84,163,73,2341,134
Nikola Vucevic,ORL,"PF,C",1427,846,285,89,75,0.5,0.78,79,77,2361,139
Lou Williams,LAC,"PG,SG",1426,212,340,11,60,0.44,0.88,132,78,2111,178
Jamal Murray,DEN,"PG,SG",1417,331,352,29,72,0.44,0.87,161,79,2551,160
Zion Williamson,NOR,PF ,1407,649,219,84,112,0.56,0.7,60,74,2247,156
Andre Drummond,DET,"PF,C",1389,1237,156,140,128,0.57,0.58,4,79,2681,178
De'Aaron Fox,SAC,PG,1387,295,568,41,114,0.44,0.74,96,78,2538,225
Collin Sexton,CLE,PG,1382,249,326,14,52,0.43,0.81,111,79,2546,206
Ben Simmons,PHI,"PG,SF",1378,679,674,70,122,0.54,0.62,11,79,2699,267
Deandre Ayton,PHO,C,1377,778,140,105,59,0.57,0.75,0,75,2355,147
Jayson Tatum,BOS,"SF,PF",1376,488,174,61,89,0.47,0.83,131,79,2520,123
Danilo Gallinari,OKC,"SF,PF",1368,424,160,22,50,0.43,0.9,162,70,2179,106
Kyle Kuzma,LAL,"SF,PF ",1361,434,171,32,45,0.47,0.73,152,77,2416,132
Lauri Markkanen,CHI,PF,1352,620,101,46,47,0.44,0.85,176,73,2334,103
Marvin Bagley III,SAC,PF,1340,662,117,83,48,0.49,0.73,38,74,2171,151
Andrew Wiggins,MIN,"SG,SF",1335,338,172,46,72,0.43,0.71,120,76,2622,145
Victor Oladipo,IND,"PG,SG ",1319,341,323,31,119,0.46,0.79,140,62,2060,159
Harrison Barnes,SAC,"SF,PF",1291,383,125,15,48,0.44,0.83,135,77,2466,101
Dennis Smith Jr.,NYK,"PG,SG",1287,283,375,25,85,0.42,0.68,121,78,2426,222
Pascal Siakam,TOR,PF,1286,550,244,54,76,0.52,0.74,78,78,2366,129
Aaron Gordon,ORL,"SF,PF",1279,564,241,56,64,0.45,0.72,127,77,2479,137
TJ Warren,IND,"SF,PF",1272,330,107,45,82,0.5,0.78,75,73,2336,75
Ja Morant,MEM,PG,1257,314,582,27,100,0.44,0.8,132,76,2366,246
Kevin Love,CLE,"PF,C",1246,682,151,24,35,0.43,0.89,168,69,2113,129
Jaylen Brown,BOS,"SG,SF",1225,383,138,46,98,0.48,0.67,147,77,2368,121
Kyle Lowry,TOR,PG,1223,364,528,29,99,0.43,0.84,201,72,2399,190
JJ Redick,NOR,SG,1219,171,180,12,32,0.45,0.9,220,76,2179,97
Gordon Hayward,BOS,"SG,SF",1212,385,303,27,68,0.48,0.84,107,75,2277,136
Brandon Ingram,NOR,"SG,SF",1210,357,234,49,51,0.49,0.7,52,72,2254,162
RJ Barrett,NYK,"SF,SG",1205,428,223,26,58,0.43,0.72,154,75,2138,128
Evan Fournier,ORL,"SG,SF",1205,243,258,11,67,0.44,0.84,151,77,2407,131
Rudy Gobert,UTH,C,1197,992,142,197,61,0.65,0.66,0,77,2520,132
Goran Dragic,MIA,"PG,SG",1191,274,390,11,65,0.45,0.79,113,75,2354,162
Otto Porter Jr.,CHI,"SF,PF",1188,456,177,46,113,0.48,0.81,152,78,2478,82
Kristaps Porzingis,DAL,"PF,C",1180,410,72,108,40,0.44,0.8,117,59,1786,99
Eric Gordon,HOU,"SG,SF",1178,170,146,29,44,0.42,0.82,218,75,2281,112
Bojan Bogdanovic,UTH,"SG,SF",1173,360,150,11,78,0.49,0.74,136,78,2348,116
Eric Bledsoe,MIL,"PG,SG ",1172,352,426,33,122,0.47,0.79,128,76,2331,190
Dennis Schroder,OKC,"PG,SG",1169,245,330,11,59,0.43,0.83,106,77,2002,170
Gary Harris,DEN,"SG,SF",1163,209,190,19,106,0.47,0.82,144,74,2420,104
Reggie Jackson,DET,"PG,SG",1162,199,364,7,49,0.43,0.86,126,74,2182,150
Jaren Jackson Jr.,MEM,"PF,C",1156,499,103,120,75,0.49,0.78,67,74,2129,142
Malcolm Brogdon,IND,"PG,SG",1154,301,348,14,67,0.48,0.9,125,74,2245,120
Jonas Valanciunas,MEM,C,1150,698,112,96,34,0.56,0.8,34,76,1896,141
Clint Capela,HOU,"PF,C",1146,842,97,134,55,0.64,0.59,0,75,2358,109
Jordan Clarkson,CLE,"PG,SG",1139,233,208,11,53,0.45,0.83,121,78,2012,133
Terry Rozier,CHA,"PG,SG",1131,407,316,25,84,0.4,0.76,168,78,2229,109
Tim Hardaway Jr.,DAL,"SG,SF ",1112,228,164,9,54,0.41,0.84,154,73,1911,92
Josh Richardson,PHI,"SG,SF",1111,280,237,66,109,0.45,0.84,155,77,2578,119
Myles Turner,IND,"PF,C",1110,587,131,185,57,0.48,0.76,84,77,2264,107
Domantas Sabonis,IND,"PF,C",1106,737,250,38,55,0.53,0.73,20,78,2160,167
Marc Gasol,TOR,C,1104,564,309,87,67,0.45,0.81,101,76,2295,143
Chris Paul,OKC,PG,1100,310,534,17,114,0.44,0.89,136,66,2043,171
Jeremy Lamb,IND,"SG,SF",1097,363,203,30,79,0.46,0.88,113,77,2038,81
Derrick Favors,NOR,"PF,C",1094,642,114,114,62,0.55,0.67,18,76,2146,108
Montrezl Harrell,LAC,"PF,C",1092,529,170,99,58,0.58,0.68,9,77,1929,106
Caris LeVert,BKN,"SG,SF",1085,296,314,41,90,0.46,0.72,98,73,1982,121
Steven Adams,OKC,C,1079,786,117,78,106,0.6,0.54,0,79,2538,133
Rodney Hood,POR,"SG,SF",1077,200,146,15,62,0.44,0.85,126,75,2096,89
Bogdan Bogdanovic,SAC,"SG,SF",1076,264,295,19,78,0.44,0.83,154,78,2166,113
Thomas Bryant,WAS,C,1073,706,145,102,33,0.58,0.78,54,78,2058,77
Kevin Knox,NYK,"SF,PF",1070,363,107,36,54,0.42,0.74,90,77,2392,120
Taurean Prince,BKN,SF,1061,337,178,32,73,0.44,0.83,164,77,2289,154
Serge Ibaka,TOR,"PF,C",1048,564,78,92,32,0.49,0.8,78,75,1982,102
Enes Kanter,BOS,C,1044,703,133,34,40,0.58,0.82,6,73,1985,130
Miles Bridges,CHA,SF,1042,447,140,71,82,0.46,0.76,78,79,2149,79
Darius Garland,CLE,"PG,SG",1029,214,233,8,54,0.46,0.82,149,76,1748,159
Paul Millsap,DEN,"PF,C",1000,516,174,66,86,0.47,0.73,62,73,2178,117
Brook Lopez,MIL,C,997,372,110,152,41,0.46,0.81,174,77,2067,96
Hassan Whiteside,POR,C,994,846,65,149,47,0.55,0.61,0,73,1892,112
Shai Gilgeous-Alexander,OKC,"PG,SG",994,264,352,43,111,0.46,0.79,70,77,2217,168
Dario Saric,PHO,"PF,C",994,474,162,16,53,0.45,0.86,133,77,2231,122
Rui Hachimura,WAS,"PF,SF",986,492,139,71,85,0.49,0.72,50,77,2002,102
